Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1,Power_kW_XGB,Power_kW_BT,Power_kW_GB
2019-02-08,216.02037499999997,3.0,4.0,11.5,11.942187500000001,128.98769791666666,215.65458333333333,213.2936,213.95033989875,212.5143749768613
2019-02-09,136.11466666666666,1.0,5.0,11.5,12.316979166666668,132.07922916666666,136.61429166666667,137.3555,136.73696760208335,135.93367492385403
2019-02-10,123.43895833333333,1.0,6.0,11.5,12.977743055555555,62.29305208333333,123.73004166666668,124.3073,123.67259939125,124.07175496713118
2019-02-11,214.46466666666666,3.0,0.0,11.5,11.344027777777777,173.003875,214.22854166666664,210.14723,212.36618395416667,210.64905578042405
2019-02-12,218.92479166666666,3.0,1.0,11.5,12.550763888888888,171.2230625,218.85579166666665,214.91324,217.00094495625,215.74036580758062
2019-02-13,208.58249999999998,3.0,2.0,11.5,13.230138888888888,170.76128125,208.75770833333334,204.95392,207.43437567125,207.0118849078136
2019-02-14,205.51225,3.0,3.0,11.5,13.120798611111113,174.13994444444447,205.52633333333333,202.8529,203.94117000833333,203.96817130348157
2019-02-15,212.29558333333333,3.0,4.0,11.5,12.74065972222222,114.81862847222222,211.85225,206.98004,207.46687472875,207.67321127262198
2019-02-16,134.20841666666666,1.0,5.0,11.5,13.405243055555557,176.61647569444446,134.33041666666665,134.81569,134.81037156708334,133.82518178291147
2019-02-17,131.43145833333332,1.0,6.0,11.5,11.813402777777776,129.91472569444446,131.62520833333335,131.4649,131.96908569541668,131.71352831892113
2019-02-18,228.558,0.0,0.0,11.5,10.467951388888888,49.67978125,228.4130416666667,230.99019,228.59233040583334,226.37912452467654
2019-02-19,215.54433333333336,0.0,1.0,11.5,11.652812500000001,178.0029409722222,215.76270833333334,215.84053,215.76338981166668,216.97167531969137
2019-02-20,213.78816666666668,0.0,2.0,11.5,11.630659722222221,167.31593055555555,213.62433333333334,213.60355,214.82447611625,212.61547302652593
2019-02-21,210.85649999999998,0.0,3.0,11.5,12.69732638888889,161.5204652777778,210.851625,211.10931,212.36274271333332,210.12249036097205
2019-02-22,205.34366666666665,0.0,4.0,11.5,14.238124999999998,174.27405555555552,205.64295833333333,206.18466,206.50072412666668,205.49257256703848
2019-02-23,131.608125,1.0,5.0,11.5,14.720347222222223,170.53209027777777,131.61191666666667,131.42836,131.821420185,131.12798210585194
2019-02-24,132.25208333333333,1.0,6.0,11.5,16.216006944444445,195.24623958333333,131.763875,131.98228,132.04720953666666,131.20497748778203
2019-02-25,216.7709166666667,0.0,0.0,11.5,15.231944444444444,194.09640972222223,217.1570416666667,214.7087,216.03468970416668,214.9973002662022
2019-02-26,220.2085,0.0,1.0,11.5,14.281979166666668,170.69214930555555,220.09308333333334,217.08545,218.17696502875,217.05768467117187
2019-02-27,218.21504166666668,0.0,2.0,11.5,13.627361111111112,126.65899652777777,218.36658333333332,215.79987,215.26551307625002,216.2391803256678
2019-02-28,212.16829166666665,0.0,3.0,11.5,12.6478125,166.36526041666664,212.145125,208.70175,209.93048834333334,211.5808519544668
2019-03-01,196.96133333333333,0.0,4.0,11.5,12.864166666666668,172.51192013888888,197.09737499999997,198.71951,199.62678538833333,198.79967940958917
2019-03-02,138.557875,1.0,5.0,11.5,14.227916666666667,196.43610069444446,138.372125,138.50906,138.07052342416668,137.92930197987673
2019-03-03,127.5575,1.0,6.0,11.5,12.611180555555556,181.2906875,127.35308333333334,127.48942,127.47579753999999,127.68268330583423
2019-03-04,185.665625,0.0,0.0,11.5,13.756180555555554,150.19366319444444,185.10270833333334,189.46289,187.11709793291666,193.23302483304133
2019-03-05,139.97241666666665,0.0,1.0,11.5,13.86704861111111,61.08269444444445,140.73504166666666,142.51872,142.30592781708333,144.06348559798178
2019-03-06,215.84116666666668,0.0,2.0,11.5,12.140590277777777,141.37999305555556,215.46504166666668,218.25679,216.26000115416664,215.7743677799091
2019-03-07,231.40554166666666,0.0,3.0,11.5,11.371284722222223,116.70629166666667,231.888,230.4622,230.39760831208335,229.9105697342354
2019-03-08,200.85154166666666,0.0,4.0,11.5,12.52326388888889,218.1621875,200.978625,201.12804,203.04905404875,202.22188171420365
2019-03-09,136.496,1.0,5.0,11.5,13.986944444444445,227.6488125,136.02433333333332,135.28981,136.1604132525,135.69082612751728
2019-03-10,132.83595833333334,1.0,6.0,11.5,13.976527777777777,225.68147916666666,132.79395833333334,133.07437,133.7054812275,132.2597078038053
2019-03-11,202.624625,0.0,0.0,11.5,15.040902777777776,234.2454027777778,202.93170833333332,203.3235,203.88591568041667,203.39450772099863
2019-03-12,202.90404166666667,0.0,1.0,11.5,12.970243055555557,232.60544791666666,203.10850000000002,203.55765,204.31193710958334,203.10349273886447
2019-03-13,207.6726666666667,0.0,2.0,11.5,11.501631944444446,240.4571111111111,207.009875,206.7376,205.91022603666667,207.1619453088789
2019-03-14,212.49279166666668,0.0,3.0,11.5,13.413125,244.4296701388889,212.96212500000001,212.57909,213.509870665,212.87162052904952
