Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1
2017-07-21 11:00:00,310.8904526,3.0,4,11,19.775833333333335,901.25,309.9674396
2017-07-21 12:00:00,295.0407915,3.0,4,12,20.048333333333336,942.0,310.8904526
2017-07-21 13:00:00,290.4872607,3.0,4,13,20.171666666666667,924.4166666666666,295.0407915
2017-07-21 14:00:00,314.362321,3.0,4,14,20.459166666666665,867.75,290.4872607
2017-07-21 15:00:00,320.0052583,3.0,4,15,20.445833333333333,760.8333333333334,314.362321
2017-07-21 16:00:00,314.1549047,3.0,4,16,20.183333333333334,596.875,320.0052583
2017-07-21 17:00:00,276.9993408,3.0,4,17,20.035,398.5916666666667,314.1549047
2017-07-21 18:00:00,219.9782767,3.0,4,18,19.471666666666668,243.5583333333333,276.9993408
2017-07-21 19:00:00,178.3966457,3.0,4,19,18.590833333333332,60.2775,219.9782767
2017-07-21 20:00:00,153.2603436,3.0,4,20,17.808333333333334,1.9584166666666667,178.3966457
2017-07-21 21:00:00,151.7514999,3.0,4,21,17.2075,1.4740833333333334,153.2603436
2017-07-21 22:00:00,147.6266155,3.0,4,22,16.959166666666665,2.0877499999999998,151.7514999
2017-07-21 23:00:00,142.8897379,3.0,4,23,16.733333333333334,1.5664999999999998,147.6266155
2017-07-22 00:00:00,141.9757248,1.0,5,0,16.576666666666664,1.5342500000000001,142.8897379
2017-07-22 01:00:00,140.9317364,1.0,5,1,16.625833333333333,1.5898333333333332,141.9757248
2017-07-22 02:00:00,143.029341,1.0,5,2,16.6975,1.3126666666666666,140.9317364
2017-07-22 03:00:00,145.4429886,1.0,5,3,16.616666666666667,1.6080833333333333,143.029341
2017-07-22 04:00:00,143.4041973,1.0,5,4,16.405833333333334,1.62425,145.4429886
2017-07-22 05:00:00,142.6222525,1.0,5,5,16.454166666666666,8.084666666666665,143.4041973
2017-07-22 06:00:00,144.8877157,1.0,5,6,16.9275,113.6875,142.6222525
2017-07-22 07:00:00,134.521296,1.0,5,7,17.925833333333333,312.34999999999997,144.8877157
2017-07-22 08:00:00,122.5989401,1.0,5,8,19.26,500.7916666666667,134.521296
2017-07-22 09:00:00,123.2151193,1.0,5,9,20.375,637.5166666666667,122.5989401
2017-07-22 10:00:00,127.8345796,1.0,5,10,21.226666666666667,816.0833333333334,123.2151193
2017-07-22 11:00:00,126.2482949,1.0,5,11,21.76,880.5,127.8345796
2017-07-22 12:00:00,138.4015087,1.0,5,12,22.159166666666664,888.15,126.2482949
