,data,pred_XGB,pred_BT,pred_GB
208,302.463,304.6916,305.30189144,307.6609911372667
209,251.516,246.57692,253.95652008999997,248.3964111777921
210,217.665,208.08636,205.46635655,205.97457675213104
211,161.542,173.61711,175.18010237000001,175.19846142819367
212,149.041,146.52039,148.04862708999997,151.69733447619706
213,135.392,142.91672,142.33189061,142.4001597542227
214,133.853,134.24048,132.56178754,134.1948366828972
215,134.857,132.16328,133.57607627000002,134.465747153766
216,132.97,134.85143,133.82409676999998,135.92194260634597
217,134.147,132.45528,131.60959812000002,133.70239961441357
218,134.051,132.15529,133.12009529,134.465747153766
219,131.649,132.15529,133.22208718,134.465747153766
220,134.706,132.18565,131.63571876,134.76183046599758
221,145.638,147.30318,146.72170695000003,144.31878226117362
222,179.831,172.94301,175.19531848,162.6670167115326
223,271.207,241.90245,231.09497410999998,244.61269066726254
224,349.779,336.0764,324.23470897999994,317.908026393033
225,361.463,380.9604,385.44493351,372.4040881260984
226,357.783,356.68082,365.2514602100001,361.49336825570634
227,328.485,314.24457,321.4464143800001,329.2858530415501
228,322.809,326.2696,319.88928517000005,331.3048429315326
229,337.858,338.89935,338.48454367,331.1640106783124
230,330.539,337.81744,333.99476565000003,337.9239513039615
231,317.649,317.96918,314.51638673,319.07278949455895
232,284.89,290.82184,295.11479998,284.97575051629616
233,241.171,238.23242,237.149458,235.43545531916507
234,208.794,204.55476,206.59693235999998,202.53107260899858
235,165.819,170.6747,182.26308646,167.8473297289714
236,149.063,150.77211,150.03693522999998,153.17646760685346
237,143.108,142.59277,140.97478940999997,142.4001597542227
238,141.743,139.50401,138.71709124,138.40425818802035
239,141.401,140.81912,140.33138028,140.84692793683863
240,141.055,138.82144,137.10531380000003,140.24075188545973
241,137.813,137.94373,140.39705862,140.24075188545973
242,137.402,136.4423,135.80715148000002,137.33771221634512
243,137.434,135.68593,133.73602333,136.62067023853936
244,139.853,141.28026,135.61712801000002,139.67733704832509
245,152.297,157.11827,153.80490034,150.31942124436293
246,186.887,184.24303,182.61002214,175.06279292828296
247,287.225,279.00397,275.71476205,255.35741030864276
248,363.545,349.0439,347.98383347,326.3044704090161
249,384.873,391.0614,385.38149468,380.59290379444707
250,374.74,375.93912,394.75311148,380.93034508068
251,346.95,319.02878,317.70362806,341.0708168623499
252,339.502,346.6421,351.24252982,343.97586379239334
253,347.522,357.14584,345.37082762000006,346.92455210067317
254,350.566,345.64917,358.69088892,349.07345235246976
255,330.039,342.5543,327.94109803,335.28146167284535
256,291.913,287.93854,291.65992674,299.7049253369971
257,228.082,232.97237,230.40893057,240.23065087984259
258,204.282,193.8891,196.411306,192.66881568405853
259,149.667,165.5485,165.68947759,166.09573895284382
260,136.338,142.74706,141.15263162000002,142.66659373594405
261,134.851,132.73354,135.21403714000002,134.46127066461855
262,133.419,134.34636,134.60662760999998,134.46127066461855
263,131.142,132.84605,131.73092932999998,131.46427256786458
264,129.73,129.42108,130.61077665999997,128.70164699533765
265,127.486,129.5276,128.61148027,128.69217249401186
266,126.193,126.27992,125.54031672,126.20626386424414
267,128.196,125.0134,128.68973753999998,125.27316543655024
268,126.604,127.534454,132.34796666,128.06944972861714
269,128.159,130.73792,135.78749821000002,132.8438602391644
270,130.059,134.3762,129.13435353,130.854622804107
271,131.299,132.23466,139.03016218,132.99792267998376
272,129.623,133.8008,130.8911968,132.8257916881878
273,133.344,132.52318,141.39154757,129.87254311796679
274,136.307,138.25955,134.73450990999999,132.87655918472433
275,130.417,133.6912,142.02941025,131.28486780482274
276,132.504,133.98643,135.62491397,129.6720555771016
277,135.956,132.28775,138.29177270999998,136.04639032022382
278,139.517,137.67343,134.45586882,135.2172165663695
279,137.908,138.52855,142.61494793000003,138.57410294618452
280,140.691,139.74269,138.3106725,137.12147093896942
281,139.818,142.25616,136.91058108000001,139.0120427640786
282,134.9,139.0463,139.38609776000004,138.4487568766795
283,131.027,134.11151,132.96502492,134.6532705472318
284,129.939,128.8143,127.58195449999998,130.5584852414926
285,129.852,128.82347,125.7219054,130.5584852414926
286,127.922,129.22745,125.93331932999999,130.38301241284285
287,127.869,127.13245,127.58457074999998,126.73492886232745
288,126.372,126.419106,126.94886386,126.73492886232745
289,127.0,126.81358,127.07088575999998,125.1071671092263
290,125.942,123.57387,124.37932962,125.44883254405381
291,126.219,124.374466,123.74232506999999,123.23797649120803
292,126.261,130.88446,126.76472172000001,126.43035551976368
293,125.03,129.45479,126.99997492,132.33724008266657
294,126.589,125.68635,122.95280361,125.81550082905243
295,124.13,125.83737,127.40093093000003,128.61572067736387
296,124.465,126.92265,125.23840147000001,127.05380853542411
297,126.06,124.3959,125.47723369999999,124.90366232391808
298,126.864,127.72821,129.76926508000003,126.35066159586874
